4.20094,0.788766
4.20094,0.788766
3.9155,1.59688
4.55824,0.395103
1.67611,1.53646
1.38887,1.10794
2.38699,1.25774
1.82392,1.0268
4.76115,1.83239
3.17856,1.43459
0.708013,1.21394
0.0815029,0.485774
0.686158,1.60835
0.783395,0.801889
0.648952,0.217618
4.99462,0.436514
2.56466,1.67822
3.0632,0.592063
3.18776,1.04857
2.46792,1.94555
1.46258,1.54272
2.63372,1.53983
2.00114,1.78306
1.41657,0.704917
4.03862,1.83805
0.348776,1.89865
2.62998,0.172112
0.961069,1.32645
4.45116,0.697786
0.320857,0.0400461
2.28851,0.126192
1.1914,1.94127
4.51104,1.70184
1.33333,1.07952
1.87603,1.5205
2.56268,1.33545
2.65803,0.0785607
2.18819,1.86367
4.65405,1.4419
1.42147,1.47707
3.19989,0.708097
3.43931,0.331948
2.20052,1.76015
4.14601,0.660674
1.14484,1.78674
1.7518,1.37334
4.78234,1.17728
3.28652,1.71735
2.1978,1.84794
1.99218,1.62953
3.42109,1.82194
